_key,killedUsingWeapon,hasIBCCode
11116,executed,k4764-nm714
11117, tortured,k4764-nm714
11118,suicide car bomb,k4767-ks769
11119,suicide car bomb,k4767-ns752
11120,gunfire,k4773-fd764
11121,gunfire,d6647-hd2336
11122,gunfire,k4771-hu781
11123, executed,k4771-hu781
11124,gunfire,k4751-xn809
11125,gunfire,k4752-em796
11126,gunfire,k4757-sw800
11127,gunfire,k15786-bc1772
11128,gunfire,k15786-nv1679
11129,gunfire,k15786-fn1810
11130,7.62mm gunfire,d8524-sa2502
11131, drive-by shooting,d8524-sa2502
11132,gunfire,k4740-ur750
11133, executed,k4740-ur750
11134,gunfire,k4740-xa2909
11135, executed,k4740-xa2909
11136,gunfire,k4740-ea2920
11137, executed,k4740-ea2920
11138,gunfire,k4740-dx2835
11139, executed,k4740-dx2835
11140,gunfire,k4740-ec2706
11141, executed,k4740-ec2706
11142,gunfire,k4740-dw2905
11143, executed,k4740-dw2905
11144,gunfire,k4740-zx2855
11145, executed,k4740-zx2855
11146,gunfire,k4740-sf2900
11147, executed,k4740-sf2900
11148,gunfire,k4740-zw2917
11149, executed,k4740-zw2917
11150,gunfire,k4740-sb2734
11151, executed,k4740-sb2734
11152,gunfire,k4740-ua2859
11153, executed,k4740-ua2859
11154,gunfire,k4740-ds2896
11155, executed,k4740-ds2896
11156,gunfire,k4740-eb2913
11157, executed,k4740-eb2913
11158,gunfire,k4740-db2730
11159, executed,k4740-db2730
11160,9mm gunfire,d8924-ks2649
11161,gunfire,k4734-nx844
11162,gunfire,k4735-fe755
11163,gunfire,k4738-zn784
11164,gunfire,d0825-nf663
11165, assassinated,d0825-nf663
11166,gunfire,d1653d-xk2434
11167,gunfire,k4726-nw821
11168,air strike,k4728-ke638
11169, gunfire,k4728-ke638
11170,air strike,k4728-zu746
11171, gunfire,k4728-zu746
11172,air strike,k4728-ed788
11173, gunfire,k4728-ed788
11174,gunfire,k4724-ec1778
11175, executed,k4724-ec1778
11176,gunfire,k4724-dw1721
11177, executed,k4724-dw1721
11178,gunfire,k4724-zx1671
11179, executed,k4724-zx1671
11180,gunfire,k4724-sf1716
11181, executed,k4724-sf1716
11182,gunfire,k4724-zw1733
11183, executed,k4724-zw1733
11184,gunfire,k4724-sb1806
11185, executed,k4724-sb1806
11186,gunfire,k4724-ua1675
11187, executed,k4724-ua1675
11188,gunfire,k4724-ds1712
11189, executed,k4724-ds1712
11190,gunfire,k4724-eb1729
11191, executed,k4724-eb1729
11192,gunfire,k4724-db1802
11193, executed,k4724-db1802
